,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
756,,,,,,,,0,0,0,I spend money video games went way go jewel show u k chain real u lame,1539197873659
757,,,,,,,,0,0,0,In retrospect clear media left attempted gangrape Kavanaugh They sought destroy life hi,1539197873665
759,,,,,,,,0,0,0,If verified resale tickets listed I want purchase pair I likely get,1539197873662
760,,,,,,,,0,0,0,You hardest goodbye,1539197873661
761,,,,,,,,0,0,0,No fear Hucknall unbeaten sides go head head Vase showdown,1539197873657
762,,,,,,,,0,0,0,Awesome At least dog stopped minute listened considered said Liberals won,1539197873660
764,,,,,,,,0,0,0,In exactly one week today worry I ll eat birthday dinner NEW YORK BABY WOOHOOO,1539197873666
765,,,,,,,,0,0,0,I god way synagogue,1539197873658
766,,,,,,,,0,0,0,IDEA memories instead Snapchat Spotify On day years ago listened I fall apart Post Malon,1539197873658
767,mantilla,birdcage,,,,,,0,0,0,Handmade bespoke Veils Wedding amp st Communion mantilla birdcage,1539197873666
768,expressionism,britishart,,,,,,0,0,0,Head Bruce Bernard expressionism britishart,1539197873657
769,,,,,,,,0,0,0,Appreciate love Who needs,1539197873663
770,,,,,,,,0,0,0,Joker Extras Reportedly Locked In Subway Practice Pressured To Urinate On Tracks,1539197873664
772,,,,,,,,0,0,0,see handsome looks,1539197873662
773,RETWEET,,,,,,,0,0,0,How FAST RETWEET tweet Retweet see many people follow Minutes Turn notificatio,1539197874660
774,,,,,,,,0,0,0,Been depressed mother fuker lately trying show,1539197874660
775,,,,,,,,0,0,0,Delayed Start Time GSCS Staff Thursday October Due Inclement Weather,1539197874657
776,,,,,,,,0,0,0,This weather freaking WHAT FUCKING SEASON IS IT WHERE AM I,1539197874659
778,,,,,,,,0,0,0,Secondary school couples busy planning study university finish time get married,1539197874657
779,,,,,,,,0,0,0,Surely answer found Georgie s brown bin I m sure investigating t,1539197874660
780,,,,,,,,0,0,0,Y screaming part Indian blood cuz granny granny granny granny granny The Rocks fath,1539197874660
